id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-EVT-002,Session Event Stream Completeness,Emit ParticipantJoined and ParticipantLeft events,livecore-platform,"A participant joining or leaving appends and delivers the documented events to hosts (and observers where appropriate) without leaking participant PII.","Integration: join/leave persist one event each, host-visible, no PII leak (T7)","TIER 3 MEDIUM. ParticipantJoined/Left are in the event catalog but never emitted (SessionParticipantJoinService returns admission only). Emit on the join flow and on Participant.Remove. Keep payloads identifier-only (no display names / PII) per T7. Reuse the publisher + recipient resolver."
CORE-EVT-003,Session Event Stream Completeness,Emit scene and content lifecycle session events,livecore-platform,"Scene activation and content/visibility lifecycle changes surface as the documented session events so a reconnecting client can reconstruct state; recipient projection is visibility-correct.","Integration: events reach only authorized recipients; participant never receives a hidden-resource event","TIER 3 MEDIUM. Emit SceneActivated and the realtime VisibilityRuleChanged session event (distinct from the audit record). Each event that concerns a governed resource MUST carry the visibility subject so the recipient resolver gates it (reuse the RT-004 SessionEventRecipientResolver projection). No leakage of hidden resources."
CORE-OPS-001,Production Operations Readiness,Define and ship the database migration application path,livecore-platform,"A fresh deploy gets its schema applied deterministically before the API serves traffic; the mechanism is documented and runnable; startup never implicitly migrates a multi-instance deployment.","A test or CI step that applies all migrations to an empty database succeeds","TIER 2 CRITICAL - biggest launch blocker. Nothing applies the 28 checked-in Npgsql migrations (LiveCoreDbContext keeps startup migration off by design). Ship dotnet ef migrations bundle (or an init-container/Job) as the migration runner, document the exact command in docs/13, and ensure API rollout gates on it. Do NOT enable implicit startup Migrate() for multi-instance."
CORE-OPS-002,Production Operations Readiness,Add Postgres migration coverage and model-drift check to CI,livecore-platform,"CI applies the real migrations against a real Postgres and fails on any model-vs-migration drift; at least the integration suite runs against Postgres.","CI job: spin up Postgres, apply migrations, run integration tests; ef migrations has-pending-model-changes returns clean","TIER 2 HIGH. All tests use SQLite EnsureCreated() and bypass the migration files entirely, so broken/ drifted Postgres migrations stay invisible. Add a CI job (Testcontainers or a CI Postgres service) that applies migrations and runs the integration suite, plus a dotnet ef migrations has-pending-model-changes drift gate. Update ci.yml."
CORE-OPS-003,Production Operations Readiness,Add CORS forwarded-headers and HTTPS posture,livecore-platform,"A browser/PWA client can call the API and SignalR hub from a configured allow-list of origins; behind a reverse proxy the app sees the real scheme/host; AllowedHosts is constrained.","Integration: preflight from an allowed origin succeeds and a disallowed origin is rejected; forwarded-headers respected","TIER 2 HIGH. No AddCors/UseCors/UseForwardedHeaders exists and AllowedHosts is *. Add a configurable CORS allow-list (Cors:AllowedOrigins) applied to both REST and the /hubs SignalR endpoint, UseForwardedHeaders with known proxies, and a documented TLS-termination posture. Reuse the existing config pattern; fail-closed default (no origins = none allowed)."
CORE-OPS-004,Production Operations Readiness,Enforce OIDC audience validation in production,livecore-platform,"When an OIDC Authority is configured, a blank Audience is treated as a misconfiguration (readiness fails or the host refuses to start) rather than silently accepting any issuer token.","Unit/integration: Authority set + Audience blank -> readiness unhealthy / startup guard; valid audience accepted","TIER 2 MEDIUM. OidcAuthenticationExtensions sets ValidateAudience only when Audience is non-blank, so a blank Audience silently disables audience scoping (foot-gun). Make Audience effectively mandatory in a production environment. Keep the existing fail-closed handler for the unconfigured case."
CORE-OPS-005,Production Operations Readiness,Harden readiness checks and add a worker health surface,livecore-platform,"In a production environment the API reports not-ready when persistence or OIDC is unconfigured; the worker exposes a liveness signal so a stalled job loop is detectable.","Integration: misconfigured API is not-ready; worker heartbeat/health responds","TIER 2 MEDIUM. /health/ready can report Healthy with no DB configured (all domain routes then 503). Make readiness fail (or degrade) when required dependencies are unconfigured in Production. Add a lightweight worker heartbeat (health port or heartbeat file) so orchestration can detect a wedged AssetCleanupBackgroundService loop."
CORE-OPS-006,Production Operations Readiness,Implement an S3-compatible asset storage adapter,livecore-platform,"With storage credentials configured the API mints real pre-signed upload/download URLs against an S3-compatible backend honoring the SignedAssetUrl contract; unconfigured stays fail-closed.","Contract tests against the adapter (op-correct, asset-scoped, short-lived URL); unconfigured still 503","TIER 2 CRITICAL for any media feature. Only UnconfiguredAssetStorage (always throws) and test fakes exist. Implement a concrete IAssetStorage over the AWS SDK / S3-compatible pre-signed URLs, registered conditionally on Assets:Storage:* config, honoring SignedAssetUrl (absolute, lifetime <= 1h). Adding the storage SDK is a justified new dependency - explain it in the summary. Keep credentials out of source (config/env only)."
CORE-OPS-007,Production Operations Readiness,Implement a Redis/Valkey SignalR backplane,livecore-platform,"With a backplane connection string configured, realtime events reach clients across multiple API instances; unconfigured falls back to the in-process backplane with a documented single-instance constraint.","Integration/unit verifying the backplane registration is selected when configured; recipient computation unchanged","TIER 2 CRITICAL for HA/scale. Only InProcessRealtimeBackplane exists, so multi-replica silently drops events to other pods. Add the SignalR Redis/Valkey backplane (Microsoft.AspNetCore.SignalR.StackExchangeRedis) wired conditionally on Realtime:Backplane config. The backplane must still receive only already-authorized per-recipient deliveries (do not widen the audience). Justified new dependency - explain it."
CORE-OPS-008,Production Operations Readiness,Define the secret-management and configuration contract,livecore-platform,"Every required secret/config value has a documented name and injection mechanism; a names-only env example ships; no secret is ever committed.","Boundary/secret scan stays clean; a config-validation test asserts required prod settings are present","TIER 3 MEDIUM. There is no documented secret-management story (connection string, OIDC, storage/store creds). Provide a .env.example (names only), document the env-var -> secret-store mapping in docs/13, and add startup config validation that fails loudly when a required production value is missing. Reuse the existing fail-closed-when-unconfigured posture."
CORE-OPS-009,Production Operations Readiness,Publish versioned container images in CI,livecore-platform,"On a tagged release CI builds and pushes immutable, versioned API and worker images to a registry; the existing quality gates still run.","CI dry-run/build of the publish job; image tags are immutable and versioned","TIER 3 MEDIUM. ci.yml builds images but never pushes (no CD). Add a registry login + docker push on tag/release with immutable version tags, keeping the build/test/format/boundary/smoke gates. Do not push on every PR."
CORE-OPS-010,Production Operations Readiness,Document backup and restore procedures,livecore-platform,"There is a documented, tested procedure to back up and restore Postgres and object storage, covering the append-only audit/event/purchase systems of record.","A restore drill description or script that is verifiably runnable","TIER 3 MEDIUM. No backup/restore exists for a platform holding tenant-isolated audit, session-event and purchase records. Document (and where feasible script) Postgres backup (PITR or pg_dump cadence) + object-storage backup, plus a tested restore runbook in docs/13."
CORE-OBS-001,Observability,Add OpenTelemetry metrics and a scrape endpoint,livecore-platform,"The API exposes the documented operational metrics (request duration, error rate, realtime connections, reveal latency, event-delivery failures, asset failures, db failures, job failures) via a Prometheus/OTLP surface.","Integration: the metrics endpoint responds and emits the documented meters","TIER 3 HIGH. docs/15 requires 8 metrics; none exist (no OpenTelemetry/Meter/Prometheus). Add OTel metrics + a scrape (or OTLP export) endpoint and instrument the documented signals. Reuse existing seams (publisher, reveal path, asset/storage, worker). Justified new dependency - explain it."
CORE-OBS-002,Observability,Add per-request structured log context,livecore-platform,"Every request/event log line carries the documented context (request_id, organization_id, workspace_id, session_id, user_id, event_id) without leaking sensitive content.","Integration: a request log line includes the context keys and no PII/secret","TIER 3 MEDIUM. JSON logging is wired with IncludeScopes but nothing populates the per-request context docs/15 requires. Add middleware/log-scope enrichment that sets the documented keys from the resolved tenant/principal context. No content/PII/token in logs (T7)."
CORE-OBS-003,Observability,Add distributed tracing hooks,livecore-platform,"Key request and realtime flows produce spans via an ActivitySource so traces can be exported by a configured collector.","Integration/unit asserting spans are emitted for a sample flow","TIER 4 MEDIUM. docs/15 defers tracing but it is required-eventually. Add an ActivitySource and span instrumentation on the HTTP request flow and the reveal/publish path, exportable via OTel. Justified new dependency - explain it."
CORE-JOB-001,Worker Background Jobs,Implement the recap generation background job,livecore-platform,"Recaps are produced asynchronously by the worker for sessions that need them, on a configurable cadence, idempotently.","Worker unit tests: recap produced once per eligible session, idempotent, tenant-scoped","TIER 3 MEDIUM. The worker runs only AssetCleanupBackgroundService; Recap exists only via synchronous paths. Add a hosted service that generates recaps for eligible sessions, mirroring AssetCleanupBackgroundService (PeriodicTimer, DB-gated, idempotent). Reuse the Recap aggregate/repository."
CORE-JOB-002,Worker Background Jobs,Implement the export processing background job,livecore-platform,"Export jobs are processed asynchronously by the worker into manifests, authorized and tenant-scoped, with status transitions.","Worker unit/integration: an export job is processed to completion, negative tenant isolation","TIER 3 MEDIUM. Export job + manifest aggregates exist but nothing processes them. Add a worker hosted service that picks up queued export jobs and produces manifests/entries. Reuse the Exports module. Idempotent and tenant-scoped."
CORE-JOB-003,Worker Background Jobs,Implement store-notification reconciliation job,livecore-platform,"Missed or out-of-order store notifications are reconciled so entitlement state converges; idempotent; only runs when billing is configured.","Worker tests: duplicate/missed notification reconciled safely, idempotent","TIER 4 MEDIUM (only if billing is retained for v1 - billing is out-of-scope per docs/01). Store notifications are processed only on the synchronous inbound webhook. Add a reconciliation job that re-derives entitlement state from purchase_events/store_notification_events. Reuse StoreNotificationService. Gate on store config; fail-closed."
CORE-DOC-001,Specification Hygiene,Reconcile spec drift to a single source of truth,livecore-platform,"The route, table, event and epic specifications agree with each other and with the implementation; one source of truth per concern.","Boundary scan stays clean; a doc/csv consistency note or check","TIER 4 MEDIUM. Drift found: docs/08 lists GET /scenes/{sceneId} not in api_routes.csv; database_tables.csv vs entitlement_database_tables.csv disagree on purchase_providers/billing_account_links; docs/18 epic numbering shifted after the billing resequence; the docs/10 inline table list is stale. Pick a single source of truth per concern, reconcile, and mark genuinely-deferred items explicitly. Docs/csv only - no Core source change."
CORE-DOC-002,Specification Hygiene,Complete or formally defer the purchase-to-entitlement chain,livecore-platform,"Either the billing_account_links table + purchase-to-entitlement grant chain is implemented so a verified purchase grants a SubjectEntitlement, or billing is formally marked deferred and the orphan store/ads stories are annotated as out-of-scope for v1.","If implemented: integration test that a verified purchase grants the buyer's entitlement; else doc-only change","TIER 4 MEDIUM. billing_account_links is documented but missing, so a verified purchase cannot link to a subject to grant entitlements - the monetization loop is broken. Note docs/01 lists billing as OUT-OF-SCOPE for Core v1, so the cleanest option may be to formally defer billing and annotate the ENTL/STORE/ADS rows. If kept, add the table + linkage reusing the Store and Entitlements modules. Decide explicitly."
